parking_id,city_zone,vehicle_type,entry_time,duration_minutes,hourly_rate,total_amount,payment_mode,violation,user_type
142,Zone-A,car,2024-06-16 12:00:00,120,40,80.0,Card,No,Visitor
143,zone-a,EV,2024-01-01 15:00:00,120,20,40.0,,N,Regular
144,Zone A,Car,2024-04-04 05:00:00,15,40,10.0,Card,No,regular
145,Zone-C,EV,2024-04-24 18:00:00,15,40,10.0,,No,
146,Zone A,Bike,2024-04-15 22:00:00,30,40,20.0,Card,Yes,Regular
147,ZONE-B,Bike,wrong_time,60,30,30.0,Cash,N,regular
148,Zone A,Bike,2024-03-14 21:00:00,120,30,60.0,,No,Visitor
149,Zone-A,car,2024-06-01 21:00:00,30,40,20.0,,Yes,Regular
150,Zone-A,EV,2024-04-20 04:00:00,15,40,10.0,Cash,N,VISITOR
151,zone-a,Bike,2024-01-05 17:00:00,5,40,3.33,Card,Yes,VISITOR
152,zone-a,car,2024-04-28 18:00:00,60,40,40.0,CARD,No,VISITOR
153,Zone-A,Bike,2024-02-14 13:00:00,240,40,160.0,UPI,Y,Visitor
154,zone c,Car,2024-05-31 20:00:00,240,40,160.0,CARD,No,Regular
155,ZONE-B,Bike,2024-02-05 04:00:00,30,40,20.0,CARD,No,Visitor
156,zone-a,Bike,2024-04-08 09:00:00,240,20,80.0,UPI,No,VISITOR
157,zone c,Bike,2024-03-01 01:00:00,120,40,80.0,Cash,No,Regular
158,Zone A,Bike,2024-03-26 23:00:00,60,20,20.0,upi,No,regular
159,zone-a,EV,2024-02-13 14:00:00,120,30,60.0,UPI,YES,VISITOR
160,Zone A,car,2024-05-18 01:00:00,60,30,30.0,Card,Yes,Visitor
161,Zone-C,EV,2024-04-07 10:00:00,30,20,10.0,Card,,VISITOR
162,zone-a,Car,2024-05-05 04:00:00,60,40,40.0,UPI,No,Regular
163,zone-a,Bike,2024-05-31 02:00:00,240,20,80.0,UPI,Yes,Visitor
164,,EV,2024-01-06 00:00:00,15,20,5.0,CARD,Y,Regular
165,ZONE-B,Car,2024-07-03 07:00:00,,,30.0,Cash,No,Regular
166,Zone-C,Car,2024-01-15 10:00:00,5,40,3.33,Card,No,
167,,Car,2024-07-06 04:00:00,60,30,30.0,UPI,Yes,Visitor
168,zone-a,EV,2024-02-26 21:00:00,60,20,20.0,Card,No,regular
169,ZONE-B,Bike,2024-01-14 11:00:00,240,30,120.0,upi,Yes,Visitor
170,Zone-A,car,2024-02-17 05:00:00,120,,60.0,Cash,No,
171,,EV,2024-03-10 10:00:00,30,30,15.0,,No,VISITOR
172,zone c,Car,2024-02-06 19:00:00,60,30,30.0,Cash,Yes,Visitor
173,Zone-C,Bike,2024-04-01 10:00:00,,,30.0,Card,,Regular
174,zone-a,,2024-06-04 19:00:00,15,30,7.5,Card,No,VISITOR
175,,car,,60,40,40.0,Cash,,Regular
176,Zone-A,Car,2024-07-20 01:00:00,30,30,15.0,Card,Yes,
177,ZONE-B,Car,2024-07-05 11:00:00,,40,40.0,UPI,Yes,Regular
178,,Bike,2024-03-17 15:00:00,15,20,5.0,,Y,Regular
179,Zone A,,2024-07-20 18:00:00,60,20,20.0,CARD,N,Regular
180,zone c,Bike,2024-03-28 21:00:00,120,40,80.0,Card,No,regular
181,,Car,wrong_time,120,0,0.0,Card,Yes,Visitor
182,Zone-C,Bike,2024-07-25 05:00:00,15,40,10.0,CARD,No,Visitor
183,Zone A,,2024-04-04 13:00:00,120,30,60.0,upi,Y,VISITOR
184,,Bike,2024-06-30 18:00:00,30,20,10.0,UPI,No,
185,Zone A,Bike,2024-07-04 09:00:00,60,40,40.0,upi,YES,
186,,Car,2024-01-07 01:00:00,-30,,-15.0,Card,Yes,VISITOR
187,Zone-A,Bike,2024-01-31 09:00:00,15,0,0.0,,Yes,VISITOR
188,,Bike,2024-01-15 21:00:00,15,40,10.0,upi,YES,Visitor
189,zone c,Bike,2024-02-21 11:00:00,60,40,40.0,,No,VISITOR
190,Zone-A,Car,,0,0,0.0,Card,,Regular
191,Zone-C,car,2024-04-09 20:00:00,60,40,40.0,UPI,No,Regular
192,zone-a,EV,2024-03-27 01:00:00,240,20,80.0,UPI,No,Regular
193,ZONE-B,Bike,2024-03-09 20:00:00,120,40,80.0,CARD,Yes,Regular
194,ZONE-B,Bike,2024-01-13 12:00:00,5,20,1.67,,Yes,Visitor
195,Zone-A,,2024-02-04 23:00:00,60,30,30.0,Cash,N,VISITOR
196,zone c,EV,2024-06-18 16:00:00,5,20,1.67,Cash,YES,Regular
197,,Bike,2024-01-07 01:00:00,60,,30.0,CARD,Yes,
198,Zone-C,Car,2024-01-15 07:00:00,240,30,120.0,UPI,Y,Regular
199,ZONE-B,,2024-06-06 21:00:00,15,,7.5,Card,YES,Visitor
200,Zone-C,Bike,2024-06-30 09:00:00,30,40,20.0,upi,N,Regular
201,Zone A,Car,2024-06-23 12:00:00,60,20,20.0,Card,Yes,Visitor
202,Zone-C,Car,2024-03-16 00:00:00,30,40,20.0,,Yes,Visitor
203,ZONE-B,Bike,2024-03-02 20:00:00,120,20,40.0,Card,Yes,VISITOR
204,Zone-A,Bike,2024-01-14 20:00:00,30,40,20.0,,Y,Regular
205,,Bike,2024-07-24 12:00:00,30,40,20.0,UPI,No,Visitor
206,Zone A,Car,2024-04-02 00:00:00,60,40,40.0,,Y,Visitor
207,Zone-A,Car,2024-02-27 15:00:00,15,30,7.5,UPI,Y,Regular
208,Zone-A,Car,2024-02-06 13:00:00,15,20,5.0,Card,No,VISITOR
209,ZONE-B,EV,2024-06-05 07:00:00,30,0,0.0,upi,Y,VISITOR
210,Zone-A,Car,2024-04-14 02:00:00,30,0,0.0,,Yes,Visitor
211,Zone-C,Car,2024-04-28 02:00:00,15,30,7.5,upi,,VISITOR
212,Zone-A,Bike,2024-06-07 00:00:00,120,30,60.0,Cash,No,Regular
213,Zone-A,,2024-02-19 22:00:00,240,20,80.0,,No,Regular
214,Zone-A,car,2024-04-18 14:00:00,60,30,30.0,CARD,YES,VISITOR
215,zone c,EV,2024-01-26 21:00:00,240,30,120.0,Cash,Yes,Regular
216,Zone-C,Car,2024-01-18 06:00:00,120,40,80.0,CARD,Y,
217,,Car,2024-02-04 06:00:00,15,40,10.0,UPI,N,regular
218,zone c,EV,2024-05-26 21:00:00,5,40,3.33,Card,N,VISITOR
219,zone-a,Bike,2024-03-27 10:00:00,30,30,15.0,Card,Yes,VISITOR
220,ZONE-B,Bike,2024-05-18 19:00:00,240,40,160.0,Cash,Y,Regular
221,ZONE-B,EV,2024-04-10 01:00:00,30,,15.0,Cash,Y,Visitor
222,zone-a,Car,2024-05-07 11:00:00,15,,7.5,,Y,Visitor
223,Zone A,Car,wrong_time,240,,120.0,Cash,Yes,regular
224,zone-a,EV,2024-04-21 02:00:00,15,20,5.0,,Yes,VISITOR
225,Zone-A,car,2024-02-27 00:00:00,60,40,40.0,upi,Y,Visitor
226,zone c,Car,2024-05-24 08:00:00,120,20,40.0,UPI,N,Visitor
227,Zone-C,Bike,2024-05-18 22:00:00,30,30,15.0,upi,Yes,Regular
228,Zone-A,Bike,2024-04-14 15:00:00,240,40,160.0,upi,No,
229,zone-a,Bike,2024-05-03 02:00:00,30,20,10.0,,Y,Visitor
230,zone-a,Car,2024-04-22 11:00:00,30,40,20.0,upi,Yes,Visitor
231,zone c,Bike,2024-05-04 00:00:00,0,20,0.0,Card,YES,regular
232,ZONE-B,Car,2024-05-16 02:00:00,-30,30,-15.0,Card,YES,Visitor
233,ZONE-B,Car,2024-06-28 14:00:00,240,20,80.0,Cash,No,VISITOR
234,zone-a,Car,2024-06-28 19:00:00,5,20,1.67,,No,Visitor
235,Zone-C,Bike,2024-01-07 15:00:00,15,20,5.0,UPI,YES,Regular
236,,Car,2024-04-15 10:00:00,-30,20,-10.0,CARD,Y,Regular
237,,Bike,2024-04-10 18:00:00,15,30,7.5,Cash,Yes,
238,Zone-A,,2024-04-24 01:00:00,30,0,0.0,Cash,Y,Visitor
239,ZONE-B,EV,2024-05-13 14:00:00,30,20,10.0,Cash,No,VISITOR
240,Zone-A,EV,2024-06-22 07:00:00,30,20,10.0,upi,No,Visitor
241,zone c,EV,2024-04-26 08:00:00,240,,120.0,Card,No,VISITOR
242,Zone-C,,2024-04-13 14:00:00,60,40,40.0,,N,VISITOR
243,Zone A,,2024-05-16 19:00:00,60,40,40.0,CARD,Y,regular
244,Zone A,Car,wrong_time,30,20,10.0,Card,Yes,
245,Zone-A,EV,2024-02-27 14:00:00,120,30,60.0,UPI,Yes,regular
246,,Car,2024-03-01 14:00:00,-30,40,-20.0,,Yes,Regular
247,,Bike,2024-05-18 05:00:00,120,40,80.0,Card,No,Visitor
248,,Bike,2024-07-26 18:00:00,120,20,40.0,Card,Yes,Regular
249,,Bike,2024-05-30 03:00:00,120,,60.0,Cash,N,Regular
250,Zone-A,Car,2024-07-21 09:00:00,30,30,15.0,Cash,,
251,,Car,,15,20,5.0,Card,Y,regular
252,Zone-A,Bike,2024-06-16 05:00:00,120,0,0.0,UPI,Y,regular
253,,Car,2024-03-02 12:00:00,0,30,0.0,,Y,regular
254,zone c,EV,2024-02-12 23:00:00,-30,40,-20.0,UPI,,Visitor
255,,,2024-05-19 01:00:00,30,,15.0,UPI,N,Visitor
256,zone c,Bike,2024-05-01 03:00:00,240,,120.0,Card,YES,Regular
257,,Car,2024-06-20 04:00:00,240,0,0.0,UPI,Yes,Regular
258,Zone-C,Bike,2024-02-06 05:00:00,30,40,20.0,UPI,YES,
259,,,,30,40,20.0,,No,Visitor
260,Zone-A,Bike,2024-06-17 15:00:00,30,30,15.0,UPI,Y,
261,Zone-C,car,2024-04-13 11:00:00,240,40,160.0,UPI,No,Visitor
262,zone c,Bike,2024-04-03 11:00:00,5,40,3.33,,No,Regular
263,,EV,2024-07-10 23:00:00,30,20,10.0,Card,Yes,regular
264,Zone-A,Bike,2024-01-20 09:00:00,30,0,0.0,Cash,Y,Regular
265,ZONE-B,Car,2024-01-05 13:00:00,30,20,10.0,CARD,Yes,Visitor
266,Zone-C,Bike,2024-06-02 00:00:00,15,,7.5,Cash,N,Regular
267,zone-a,EV,2024-02-21 10:00:00,15,40,10.0,UPI,Y,Visitor
268,ZONE-B,Bike,2024-07-11 22:00:00,60,30,30.0,Cash,YES,VISITOR
269,zone c,EV,2024-02-23 20:00:00,30,20,10.0,UPI,Yes,
270,,Bike,2024-01-26 23:00:00,30,0,0.0,UPI,No,Visitor
271,Zone-C,car,2024-04-12 01:00:00,60,20,20.0,,Yes,
272,,Car,2024-06-22 17:00:00,60,40,40.0,UPI,N,Regular
273,Zone-A,Car,2024-06-06 11:00:00,15,0,0.0,Cash,No,Regular
274,ZONE-B,Car,2024-04-25 20:00:00,15,40,10.0,Card,N,Visitor
275,Zone-A,CAR,2024-05-31 20:00:00,15,20,5.0,,No,Regular
276,zone-a,,2024-04-24 12:00:00,15,40,10.0,CARD,,Regular
277,ZONE-B,EV,2024-06-25 05:00:00,15,20,5.0,UPI,No,regular
278,Zone-C,Car,2024-04-28 11:00:00,120,40,80.0,,No,Visitor
279,zone-a,Bike,2024-01-04 05:00:00,30,30,15.0,Cash,,Regular
280,Zone-C,Car,2024-07-22 23:00:00,30,30,15.0,,,
281,,Car,2024-03-27 13:00:00,-30,20,-10.0,Card,Yes,Visitor
282,zone c,Bike,2024-07-13 11:00:00,120,0,0.0,,No,VISITOR
283,ZONE-B,Car,2024-02-05 13:00:00,5,40,3.33,,Y,Regular
284,Zone-C,Car,2024-06-06 00:00:00,60,40,40.0,UPI,Yes,regular
285,Zone A,Bike,2024-02-08 12:00:00,,30,30.0,Cash,N,Regular
286,Zone-C,,2024-03-16 19:00:00,30,30,15.0,Cash,Yes,Regular
287,Zone-C,Bike,2024-06-20 07:00:00,5,40,3.33,UPI,YES,Regular
288,Zone-A,Bike,,120,0,0.0,UPI,Yes,Visitor
289,Zone-A,Car,,5,20,1.67,,Yes,VISITOR
290,Zone A,Bike,2024-05-08 23:00:00,240,20,80.0,UPI,Yes,Regular
291,zone c,Bike,2024-06-06 13:00:00,,30,30.0,Card,Yes,Regular
292,ZONE-B,Bike,2024-06-15 10:00:00,60,0,0.0,Cash,Yes,Visitor
293,,Bike,2024-05-31 02:00:00,60,20,20.0,,Y,regular
294,zone-a,EV,wrong_time,60,20,20.0,Cash,Yes,Regular
295,Zone A,car,2024-07-17 09:00:00,-30,20,-10.0,Cash,No,Visitor
296,,Car,2024-01-22 09:00:00,15,30,7.5,UPI,,Visitor
297,Zone A,Bike,2024-04-29 16:00:00,120,20,40.0,Cash,Y,VISITOR
298,ZONE-B,EV,2024-03-02 22:00:00,15,,7.5,Cash,,regular
299,zone c,Bike,2024-07-01 10:00:00,30,30,15.0,Cash,Yes,Visitor
300,Zone A,Car,2024-03-23 10:00:00,240,40,160.0,Cash,N,Regular
301,Zone-A,EV,2024-05-14 20:00:00,60,40,40.0,Card,No,VISITOR
302,Zone-C,Car,2024-06-11 04:00:00,120,20,40.0,Cash,Yes,VISITOR
303,Zone A,Car,2024-04-22 17:00:00,120,40,80.0,,N,Regular
304,ZONE-B,Bike,2024-06-23 11:00:00,15,30,7.5,UPI,YES,regular
305,zone-a,Car,2024-02-27 02:00:00,15,30,7.5,,Yes,regular
306,Zone-C,Car,2024-06-28 01:00:00,240,0,0.0,,N,Visitor
307,ZONE-B,Bike,2024-01-28 19:00:00,120,20,40.0,UPI,Yes,Regular
308,zone c,Car,2024-06-26 08:00:00,120,20,40.0,CARD,YES,Regular
309,Zone A,Car,2024-05-18 10:00:00,30,40,20.0,upi,No,Visitor
310,zone-a,,2024-04-11 17:00:00,60,20,20.0,UPI,,Visitor
311,ZONE-B,CAR,2024-07-21 21:00:00,30,0,0.0,UPI,Y,Visitor
312,zone c,Bike,2024-03-24 14:00:00,240,30,120.0,UPI,Y,Regular
313,,,2024-01-30 02:00:00,60,30,30.0,upi,N,Visitor
314,zone-a,,2024-03-29 11:00:00,30,40,20.0,UPI,Yes,VISITOR
315,Zone-A,EV,2024-03-23 05:00:00,0,,0.0,Cash,Yes,regular
316,Zone A,EV,2024-05-28 16:00:00,60,30,30.0,CARD,N,VISITOR
317,Zone-C,Bike,2024-04-23 15:00:00,30,30,15.0,Card,No,VISITOR
318,Zone-C,car,2024-04-07 10:00:00,5,0,0.0,Card,No,Visitor
319,zone c,EV,2024-07-12 01:00:00,120,30,60.0,UPI,No,regular
320,ZONE-B,Car,2024-02-18 07:00:00,60,30,30.0,Cash,N,regular
321,Zone A,Car,2024-07-25 07:00:00,240,0,0.0,UPI,Y,Regular
322,Zone-C,car,2024-06-15 09:00:00,120,30,60.0,upi,No,Regular
323,zone c,Bike,2024-02-18 11:00:00,30,40,20.0,Card,,Regular
324,Zone-C,Bike,2024-01-08 03:00:00,15,40,10.0,Card,No,Visitor
325,Zone-A,Bike,2024-04-26 15:00:00,30,0,0.0,Card,,regular
326,Zone A,EV,2024-02-08 06:00:00,15,0,0.0,,Yes,Visitor
327,ZONE-B,Car,2024-02-16 22:00:00,5,40,3.33,UPI,YES,Visitor
328,Zone A,Bike,2024-07-12 20:00:00,60,20,20.0,,No,Visitor
329,Zone-A,CAR,,60,30,30.0,UPI,,Regular
330,Zone-C,,2024-07-09 07:00:00,15,20,5.0,UPI,YES,Visitor
331,Zone-A,Car,,240,40,160.0,,Yes,Regular
332,ZONE-B,EV,2024-03-29 05:00:00,30,0,0.0,UPI,Yes,Visitor
333,Zone-A,Car,2024-06-12 23:00:00,15,30,7.5,Card,No,Regular
334,Zone A,Bike,2024-03-01 15:00:00,15,30,7.5,Card,N,Visitor
335,,Bike,2024-05-10 18:00:00,15,40,10.0,UPI,No,VISITOR
336,,CAR,2024-07-24 21:00:00,120,,60.0,UPI,N,
337,ZONE-B,Car,2024-03-14 18:00:00,120,40,80.0,UPI,Yes,Visitor
338,Zone-A,Car,2024-05-19 12:00:00,30,20,10.0,Cash,Y,Visitor
339,,car,2024-04-15 23:00:00,30,,15.0,UPI,,VISITOR
340,,EV,2024-05-12 04:00:00,-30,20,-10.0,CARD,No,Visitor
341,Zone A,,2024-03-04 19:00:00,60,30,30.0,CARD,No,Visitor
342,Zone-A,Car,2024-01-22 11:00:00,30,40,20.0,,Yes,regular
343,Zone-A,car,2024-02-29 10:00:00,15,0,0.0,UPI,No,Regular
344,,Bike,2024-01-08 05:00:00,30,40,20.0,upi,No,Visitor
