parking_id,city_zone,vehicle_type,entry_time,duration_minutes,hourly_rate,total_amount,payment_mode,violation,user_type,hour,day,weekday,month
32,ZONE-B,EV,2024-02-14 09:00:00,15.0,30.0,7.5,CASH,NO,REGULAR,9,14,Wednesday,February
34,ZONE-A,CAR,2024-03-06 01:00:00,60.0,20.0,20.0,CASH,NO,UNKNOWN,1,6,Wednesday,March
35,ZONE-C,CAR,2024-04-23 13:00:00,30.0,30.0,15.0,UPI,YES,VISITOR,13,23,Tuesday,April
36,ZONE-C,UNKNOWN,2024-04-02 06:00:00,30.0,30.0,15.0,CARD,YES,REGULAR,6,2,Tuesday,April
37,ZONE-C,CAR,2024-07-01 10:00:00,240.0,20.0,80.0,UPI,YES,VISITOR,10,1,Monday,July
38,ZONE-A,EV,2024-01-08 18:00:00,15.0,30.0,7.5,UNKNOWN,NO,VISITOR,18,8,Monday,January
39,ZONE-C,UNKNOWN,2024-07-25 09:00:00,60.0,20.0,20.0,UPI,NO,REGULAR,9,25,Thursday,July
40,ZONE-C,BIKE,2024-02-12 20:00:00,15.0,40.0,10.0,CARD,NO,VISITOR,20,12,Monday,February
41,ZONE-A,BIKE,2024-07-10 01:00:00,60.0,30.0,30.0,UNKNOWN,NO,REGULAR,1,10,Wednesday,July
42,ZONE-B,CAR,2024-07-13 08:00:00,30.0,30.0,15.0,UNKNOWN,NO,VISITOR,8,13,Saturday,July
43,ZONE-C,BIKE,2024-03-11 08:00:00,120.0,20.0,40.0,CASH,NO,VISITOR,8,11,Monday,March
44,ZONE-C,CAR,2024-02-07 01:00:00,120.0,30.0,60.0,CASH,YES,VISITOR,1,7,Wednesday,February
45,UNKNOWN,EV,2024-05-24 04:00:00,30.0,40.0,20.0,UNKNOWN,YES,REGULAR,4,24,Friday,May
46,ZONE-B,BIKE,2024-04-10 16:00:00,15.0,20.0,5.0,UPI,NO,REGULAR,16,10,Wednesday,April
48,UNKNOWN,CAR,2024-02-15 17:00:00,60.0,20.0,20.0,CARD,YES,REGULAR,17,15,Thursday,February
50,UNKNOWN,BIKE,2024-03-24 10:00:00,30.0,30.0,15.0,CARD,NO,VISITOR,10,24,Sunday,March
53,ZONE-A,CAR,2024-04-20 21:00:00,120.0,40.0,80.0,UPI,YES,REGULAR,21,20,Saturday,April
56,ZONE-B,BIKE,2024-06-30 04:00:00,120.0,30.0,60.0,UNKNOWN,NO,REGULAR,4,30,Sunday,June
57,ZONE-A,CAR,2024-07-08 15:00:00,60.0,30.0,30.0,UPI,NO,REGULAR,15,8,Monday,July
59,UNKNOWN,EV,2024-07-17 22:00:00,120.0,30.0,60.0,UPI,YES,REGULAR,22,17,Wednesday,July
60,ZONE-A,UNKNOWN,2024-02-02 15:00:00,15.0,40.0,10.0,UPI,YES,REGULAR,15,2,Friday,February
61,ZONE-C,CAR,2024-02-17 14:00:00,120.0,20.0,40.0,UPI,NO,UNKNOWN,14,17,Saturday,February
62,ZONE-C,UNKNOWN,2024-01-12 09:00:00,30.0,30.0,15.0,CASH,YES,REGULAR,9,12,Friday,January
63,ZONE-C,CAR,2024-02-02 06:00:00,120.0,20.0,40.0,CARD,YES,REGULAR,6,2,Friday,February
64,ZONE-A,BIKE,2024-06-26 17:00:00,60.0,20.0,20.0,UPI,YES,VISITOR,17,26,Wednesday,June
66,ZONE-B,CAR,2024-04-11 06:00:00,60.0,40.0,40.0,CARD,NO,REGULAR,6,11,Thursday,April
68,ZONE-B,BIKE,2024-05-11 06:00:00,30.0,30.0,15.0,UPI,NO,VISITOR,6,11,Saturday,May
69,UNKNOWN,BIKE,2024-05-17 05:00:00,60.0,30.0,30.0,UNKNOWN,YES,VISITOR,5,17,Friday,May
71,ZONE-A,BIKE,2024-06-18 00:00:00,240.0,40.0,160.0,UPI,NO,REGULAR,0,18,Tuesday,June
73,ZONE-C,BIKE,2024-04-28 21:00:00,30.0,30.0,15.0,CARD,YES,VISITOR,21,28,Sunday,April
75,ZONE-A,EV,2024-07-11 17:00:00,120.0,20.0,40.0,CARD,NO,UNKNOWN,17,11,Thursday,July
76,ZONE-A,BIKE,2024-02-13 12:00:00,60.0,40.0,40.0,CARD,YES,VISITOR,12,13,Tuesday,February
77,ZONE-C,BIKE,2024-05-22 23:00:00,15.0,30.0,7.5,UPI,NO,VISITOR,23,22,Wednesday,May
78,ZONE-C,CAR,2024-03-03 06:00:00,120.0,40.0,80.0,CARD,NO,VISITOR,6,3,Sunday,March
79,UNKNOWN,CAR,2024-03-04 18:00:00,60.0,30.0,30.0,UPI,NO,VISITOR,18,4,Monday,March
80,ZONE-A,CAR,2024-03-21 17:00:00,15.0,20.0,5.0,UPI,YES,REGULAR,17,21,Thursday,March
81,UNKNOWN,CAR,2024-02-26 22:00:00,120.0,30.0,60.0,CARD,NO,REGULAR,22,26,Monday,February
82,ZONE-A,CAR,2024-03-17 01:00:00,60.0,40.0,40.0,UNKNOWN,NO,VISITOR,1,17,Sunday,March
85,ZONE-B,BIKE,2024-07-25 07:00:00,30.0,30.0,15.0,CARD,NO,REGULAR,7,25,Thursday,July
86,ZONE-B,BIKE,2024-02-05 06:00:00,15.0,20.0,5.0,CASH,YES,VISITOR,6,5,Monday,February
87,ZONE-B,CAR,2024-04-15 15:00:00,60.0,30.0,30.0,UNKNOWN,YES,VISITOR,15,15,Monday,April
89,UNKNOWN,BIKE,2024-02-10 15:00:00,30.0,40.0,20.0,UPI,NO,REGULAR,15,10,Saturday,February
90,ZONE-A,BIKE,2024-06-03 04:00:00,60.0,30.0,30.0,CARD,NO,VISITOR,4,3,Monday,June
91,ZONE-A,BIKE,2024-07-07 00:00:00,30.0,20.0,10.0,UNKNOWN,NO,VISITOR,0,7,Sunday,July
93,ZONE-A,UNKNOWN,2024-04-13 04:00:00,15.0,40.0,10.0,UNKNOWN,YES,VISITOR,4,13,Saturday,April
95,UNKNOWN,CAR,2024-01-28 06:00:00,30.0,40.0,20.0,CASH,YES,UNKNOWN,6,28,Sunday,January
96,ZONE-A,BIKE,2024-03-01 17:00:00,30.0,20.0,10.0,UPI,NO,REGULAR,17,1,Friday,March
97,ZONE-C,BIKE,2024-04-17 16:00:00,60.0,20.0,20.0,UPI,NO,VISITOR,16,17,Wednesday,April
98,ZONE-A,CAR,2024-02-24 23:00:00,15.0,30.0,7.5,UPI,NO,REGULAR,23,24,Saturday,February
99,ZONE-B,BIKE,2024-06-05 23:00:00,30.0,30.0,15.0,CASH,NO,REGULAR,23,5,Wednesday,June
100,ZONE-B,BIKE,2024-01-22 05:00:00,60.0,20.0,20.0,UPI,NO,VISITOR,5,22,Monday,January
101,ZONE-C,BIKE,2024-02-23 13:00:00,15.0,40.0,10.0,CARD,NO,REGULAR,13,23,Friday,February
102,ZONE-C,EV,2024-06-19 23:00:00,60.0,30.0,30.0,UPI,NO,UNKNOWN,23,19,Wednesday,June
103,ZONE-A,EV,2024-05-23 03:00:00,30.0,40.0,20.0,UNKNOWN,NO,VISITOR,3,23,Thursday,May
105,ZONE-C,EV,2024-02-20 22:00:00,15.0,40.0,10.0,UPI,YES,VISITOR,22,20,Tuesday,February
106,ZONE-C,CAR,2024-07-20 10:00:00,15.0,30.0,7.5,UPI,NO,REGULAR,10,20,Saturday,July
107,ZONE-A,CAR,2024-04-24 20:00:00,30.0,30.0,15.0,CASH,YES,VISITOR,20,24,Wednesday,April
108,ZONE-C,EV,2024-01-18 07:00:00,60.0,30.0,30.0,CASH,NO,VISITOR,7,18,Thursday,January
110,ZONE-B,BIKE,2024-01-24 10:00:00,15.0,40.0,10.0,UPI,NO,REGULAR,10,24,Wednesday,January
111,UNKNOWN,BIKE,2024-07-06 18:00:00,30.0,40.0,20.0,UNKNOWN,NO,VISITOR,18,6,Saturday,July
112,ZONE-C,BIKE,2024-05-24 00:00:00,15.0,30.0,7.5,UPI,NO,REGULAR,0,24,Friday,May
113,ZONE-C,UNKNOWN,2024-01-03 08:00:00,30.0,20.0,10.0,UPI,YES,VISITOR,8,3,Wednesday,January
114,ZONE-B,CAR,2024-03-09 17:00:00,30.0,30.0,15.0,CASH,YES,REGULAR,17,9,Saturday,March
115,UNKNOWN,BIKE,2024-03-16 18:00:00,240.0,40.0,160.0,CARD,YES,UNKNOWN,18,16,Saturday,March
116,ZONE-C,BIKE,2024-05-29 16:00:00,120.0,30.0,60.0,UNKNOWN,NO,VISITOR,16,29,Wednesday,May
117,ZONE-A,UNKNOWN,2024-05-10 09:00:00,30.0,30.0,15.0,UPI,YES,REGULAR,9,10,Friday,May
118,ZONE-C,CAR,2024-06-13 01:00:00,5.0,40.0,3.33,UPI,NO,REGULAR,1,13,Thursday,June
119,ZONE-B,BIKE,2024-04-18 19:00:00,60.0,40.0,40.0,UPI,YES,VISITOR,19,18,Thursday,April
120,ZONE-B,CAR,2024-06-13 14:00:00,5.0,40.0,3.33,CARD,YES,REGULAR,14,13,Thursday,June
121,ZONE-B,BIKE,2024-05-18 20:00:00,5.0,20.0,1.67,UPI,NO,REGULAR,20,18,Saturday,May
122,ZONE-A,BIKE,2024-01-20 23:00:00,15.0,20.0,5.0,CASH,NO,REGULAR,23,20,Saturday,January
123,ZONE-A,BIKE,2024-05-26 05:00:00,60.0,40.0,40.0,CARD,NO,REGULAR,5,26,Sunday,May
124,ZONE-C,CAR,2024-04-12 12:00:00,30.0,30.0,15.0,UPI,YES,VISITOR,12,12,Friday,April
125,ZONE-C,UNKNOWN,2024-07-26 16:00:00,120.0,20.0,40.0,UPI,YES,VISITOR,16,26,Friday,July
126,ZONE-A,CAR,2024-05-02 01:00:00,15.0,30.0,7.5,UPI,NO,VISITOR,1,2,Thursday,May
127,ZONE-C,CAR,2024-02-05 15:00:00,30.0,30.0,15.0,UPI,YES,REGULAR,15,5,Monday,February
128,ZONE-C,BIKE,2024-05-19 03:00:00,15.0,20.0,5.0,UPI,NO,VISITOR,3,19,Sunday,May
129,ZONE-C,BIKE,2024-04-21 16:00:00,30.0,30.0,15.0,CARD,YES,VISITOR,16,21,Sunday,April
130,ZONE-A,UNKNOWN,2024-06-09 03:00:00,15.0,40.0,10.0,CASH,NO,VISITOR,3,9,Sunday,June
132,ZONE-A,CAR,2024-04-08 11:00:00,240.0,40.0,160.0,UPI,NO,REGULAR,11,8,Monday,April
134,UNKNOWN,CAR,2024-03-30 16:00:00,5.0,20.0,1.67,UPI,YES,VISITOR,16,30,Saturday,March
135,ZONE-C,UNKNOWN,2024-06-20 04:00:00,60.0,30.0,30.0,CASH,YES,VISITOR,4,20,Thursday,June
136,ZONE-A,BIKE,2024-05-27 18:00:00,30.0,20.0,10.0,UNKNOWN,YES,VISITOR,18,27,Monday,May
137,ZONE-A,BIKE,2024-03-19 04:00:00,60.0,40.0,40.0,CASH,NO,REGULAR,4,19,Tuesday,March
141,ZONE-A,CAR,2024-04-29 05:00:00,120.0,30.0,60.0,CARD,YES,REGULAR,5,29,Monday,April
142,ZONE-A,CAR,2024-06-16 12:00:00,120.0,40.0,80.0,CARD,NO,VISITOR,12,16,Sunday,June
143,ZONE-A,EV,2024-01-01 15:00:00,120.0,20.0,40.0,UNKNOWN,NO,REGULAR,15,1,Monday,January
144,ZONE-A,CAR,2024-04-04 05:00:00,15.0,40.0,10.0,CARD,NO,REGULAR,5,4,Thursday,April
145,ZONE-C,EV,2024-04-24 18:00:00,15.0,40.0,10.0,UNKNOWN,NO,UNKNOWN,18,24,Wednesday,April
146,ZONE-A,BIKE,2024-04-15 22:00:00,30.0,40.0,20.0,CARD,YES,REGULAR,22,15,Monday,April
148,ZONE-A,BIKE,2024-03-14 21:00:00,120.0,30.0,60.0,UNKNOWN,NO,VISITOR,21,14,Thursday,March
149,ZONE-A,CAR,2024-06-01 21:00:00,30.0,40.0,20.0,UNKNOWN,YES,REGULAR,21,1,Saturday,June
150,ZONE-A,EV,2024-04-20 04:00:00,15.0,40.0,10.0,CASH,NO,VISITOR,4,20,Saturday,April
151,ZONE-A,BIKE,2024-01-05 17:00:00,5.0,40.0,3.33,CARD,YES,VISITOR,17,5,Friday,January
152,ZONE-A,CAR,2024-04-28 18:00:00,60.0,40.0,40.0,CARD,NO,VISITOR,18,28,Sunday,April
153,ZONE-A,BIKE,2024-02-14 13:00:00,240.0,40.0,160.0,UPI,YES,VISITOR,13,14,Wednesday,February
154,ZONE-C,CAR,2024-05-31 20:00:00,240.0,40.0,160.0,CARD,NO,REGULAR,20,31,Friday,May
155,ZONE-B,BIKE,2024-02-05 04:00:00,30.0,40.0,20.0,CARD,NO,VISITOR,4,5,Monday,February
156,ZONE-A,BIKE,2024-04-08 09:00:00,240.0,20.0,80.0,UPI,NO,VISITOR,9,8,Monday,April
157,ZONE-C,BIKE,2024-03-01 01:00:00,120.0,40.0,80.0,CASH,NO,REGULAR,1,1,Friday,March
158,ZONE-A,BIKE,2024-03-26 23:00:00,60.0,20.0,20.0,UPI,NO,REGULAR,23,26,Tuesday,March
159,ZONE-A,EV,2024-02-13 14:00:00,120.0,30.0,60.0,UPI,YES,VISITOR,14,13,Tuesday,February
160,ZONE-A,CAR,2024-05-18 01:00:00,60.0,30.0,30.0,CARD,YES,VISITOR,1,18,Saturday,May
161,ZONE-C,EV,2024-04-07 10:00:00,30.0,20.0,10.0,CARD,NO,VISITOR,10,7,Sunday,April
162,ZONE-A,CAR,2024-05-05 04:00:00,60.0,40.0,40.0,UPI,NO,REGULAR,4,5,Sunday,May
163,ZONE-A,BIKE,2024-05-31 02:00:00,240.0,20.0,80.0,UPI,YES,VISITOR,2,31,Friday,May
164,UNKNOWN,EV,2024-01-06 00:00:00,15.0,20.0,5.0,CARD,YES,REGULAR,0,6,Saturday,January
166,ZONE-C,CAR,2024-01-15 10:00:00,5.0,40.0,3.33,CARD,NO,UNKNOWN,10,15,Monday,January
167,UNKNOWN,CAR,2024-07-06 04:00:00,60.0,30.0,30.0,UPI,YES,VISITOR,4,6,Saturday,July
168,ZONE-A,EV,2024-02-26 21:00:00,60.0,20.0,20.0,CARD,NO,REGULAR,21,26,Monday,February
169,ZONE-B,BIKE,2024-01-14 11:00:00,240.0,30.0,120.0,UPI,YES,VISITOR,11,14,Sunday,January
170,ZONE-A,CAR,2024-02-17 05:00:00,120.0,30.0,60.0,CASH,NO,UNKNOWN,5,17,Saturday,February
171,UNKNOWN,EV,2024-03-10 10:00:00,30.0,30.0,15.0,UNKNOWN,NO,VISITOR,10,10,Sunday,March
172,ZONE-C,CAR,2024-02-06 19:00:00,60.0,30.0,30.0,CASH,YES,VISITOR,19,6,Tuesday,February
174,ZONE-A,UNKNOWN,2024-06-04 19:00:00,15.0,30.0,7.5,CARD,NO,VISITOR,19,4,Tuesday,June
176,ZONE-A,CAR,2024-07-20 01:00:00,30.0,30.0,15.0,CARD,YES,UNKNOWN,1,20,Saturday,July
178,UNKNOWN,BIKE,2024-03-17 15:00:00,15.0,20.0,5.0,UNKNOWN,YES,REGULAR,15,17,Sunday,March
179,ZONE-A,UNKNOWN,2024-07-20 18:00:00,60.0,20.0,20.0,CARD,NO,REGULAR,18,20,Saturday,July
180,ZONE-C,BIKE,2024-03-28 21:00:00,120.0,40.0,80.0,CARD,NO,REGULAR,21,28,Thursday,March
182,ZONE-C,BIKE,2024-07-25 05:00:00,15.0,40.0,10.0,CARD,NO,VISITOR,5,25,Thursday,July
183,ZONE-A,UNKNOWN,2024-04-04 13:00:00,120.0,30.0,60.0,UPI,YES,VISITOR,13,4,Thursday,April
184,UNKNOWN,BIKE,2024-06-30 18:00:00,30.0,20.0,10.0,UPI,NO,UNKNOWN,18,30,Sunday,June
185,ZONE-A,BIKE,2024-07-04 09:00:00,60.0,40.0,40.0,UPI,YES,UNKNOWN,9,4,Thursday,July
187,ZONE-A,BIKE,2024-01-31 09:00:00,15.0,30.0,7.5,UNKNOWN,YES,VISITOR,9,31,Wednesday,January
188,UNKNOWN,BIKE,2024-01-15 21:00:00,15.0,40.0,10.0,UPI,YES,VISITOR,21,15,Monday,January
189,ZONE-C,BIKE,2024-02-21 11:00:00,60.0,40.0,40.0,UNKNOWN,NO,VISITOR,11,21,Wednesday,February
191,ZONE-C,CAR,2024-04-09 20:00:00,60.0,40.0,40.0,UPI,NO,REGULAR,20,9,Tuesday,April
192,ZONE-A,EV,2024-03-27 01:00:00,240.0,20.0,80.0,UPI,NO,REGULAR,1,27,Wednesday,March
193,ZONE-B,BIKE,2024-03-09 20:00:00,120.0,40.0,80.0,CARD,YES,REGULAR,20,9,Saturday,March
194,ZONE-B,BIKE,2024-01-13 12:00:00,5.0,20.0,1.67,UNKNOWN,YES,VISITOR,12,13,Saturday,January
195,ZONE-A,UNKNOWN,2024-02-04 23:00:00,60.0,30.0,30.0,CASH,NO,VISITOR,23,4,Sunday,February
196,ZONE-C,EV,2024-06-18 16:00:00,5.0,20.0,1.67,CASH,YES,REGULAR,16,18,Tuesday,June
197,UNKNOWN,BIKE,2024-01-07 01:00:00,60.0,30.0,30.0,CARD,YES,UNKNOWN,1,7,Sunday,January
198,ZONE-C,CAR,2024-01-15 07:00:00,240.0,30.0,120.0,UPI,YES,REGULAR,7,15,Monday,January
199,ZONE-B,UNKNOWN,2024-06-06 21:00:00,15.0,30.0,7.5,CARD,YES,VISITOR,21,6,Thursday,June
200,ZONE-C,BIKE,2024-06-30 09:00:00,30.0,40.0,20.0,UPI,NO,REGULAR,9,30,Sunday,June
201,ZONE-A,CAR,2024-06-23 12:00:00,60.0,20.0,20.0,CARD,YES,VISITOR,12,23,Sunday,June
202,ZONE-C,CAR,2024-03-16 00:00:00,30.0,40.0,20.0,UNKNOWN,YES,VISITOR,0,16,Saturday,March
203,ZONE-B,BIKE,2024-03-02 20:00:00,120.0,20.0,40.0,CARD,YES,VISITOR,20,2,Saturday,March
204,ZONE-A,BIKE,2024-01-14 20:00:00,30.0,40.0,20.0,UNKNOWN,YES,REGULAR,20,14,Sunday,January
205,UNKNOWN,BIKE,2024-07-24 12:00:00,30.0,40.0,20.0,UPI,NO,VISITOR,12,24,Wednesday,July
206,ZONE-A,CAR,2024-04-02 00:00:00,60.0,40.0,40.0,UNKNOWN,YES,VISITOR,0,2,Tuesday,April
207,ZONE-A,CAR,2024-02-27 15:00:00,15.0,30.0,7.5,UPI,YES,REGULAR,15,27,Tuesday,February
208,ZONE-A,CAR,2024-02-06 13:00:00,15.0,20.0,5.0,CARD,NO,VISITOR,13,6,Tuesday,February
209,ZONE-B,EV,2024-06-05 07:00:00,30.0,30.0,15.0,UPI,YES,VISITOR,7,5,Wednesday,June
210,ZONE-A,CAR,2024-04-14 02:00:00,30.0,30.0,15.0,UNKNOWN,YES,VISITOR,2,14,Sunday,April
211,ZONE-C,CAR,2024-04-28 02:00:00,15.0,30.0,7.5,UPI,NO,VISITOR,2,28,Sunday,April
212,ZONE-A,BIKE,2024-06-07 00:00:00,120.0,30.0,60.0,CASH,NO,REGULAR,0,7,Friday,June
213,ZONE-A,UNKNOWN,2024-02-19 22:00:00,240.0,20.0,80.0,UNKNOWN,NO,REGULAR,22,19,Monday,February
214,ZONE-A,CAR,2024-04-18 14:00:00,60.0,30.0,30.0,CARD,YES,VISITOR,14,18,Thursday,April
215,ZONE-C,EV,2024-01-26 21:00:00,240.0,30.0,120.0,CASH,YES,REGULAR,21,26,Friday,January
216,ZONE-C,CAR,2024-01-18 06:00:00,120.0,40.0,80.0,CARD,YES,UNKNOWN,6,18,Thursday,January
217,UNKNOWN,CAR,2024-02-04 06:00:00,15.0,40.0,10.0,UPI,NO,REGULAR,6,4,Sunday,February
218,ZONE-C,EV,2024-05-26 21:00:00,5.0,40.0,3.33,CARD,NO,VISITOR,21,26,Sunday,May
219,ZONE-A,BIKE,2024-03-27 10:00:00,30.0,30.0,15.0,CARD,YES,VISITOR,10,27,Wednesday,March
220,ZONE-B,BIKE,2024-05-18 19:00:00,240.0,40.0,160.0,CASH,YES,REGULAR,19,18,Saturday,May
221,ZONE-B,EV,2024-04-10 01:00:00,30.0,30.0,15.0,CASH,YES,VISITOR,1,10,Wednesday,April
222,ZONE-A,CAR,2024-05-07 11:00:00,15.0,30.0,7.5,UNKNOWN,YES,VISITOR,11,7,Tuesday,May
224,ZONE-A,EV,2024-04-21 02:00:00,15.0,20.0,5.0,UNKNOWN,YES,VISITOR,2,21,Sunday,April
225,ZONE-A,CAR,2024-02-27 00:00:00,60.0,40.0,40.0,UPI,YES,VISITOR,0,27,Tuesday,February
226,ZONE-C,CAR,2024-05-24 08:00:00,120.0,20.0,40.0,UPI,NO,VISITOR,8,24,Friday,May
227,ZONE-C,BIKE,2024-05-18 22:00:00,30.0,30.0,15.0,UPI,YES,REGULAR,22,18,Saturday,May
228,ZONE-A,BIKE,2024-04-14 15:00:00,240.0,40.0,160.0,UPI,NO,UNKNOWN,15,14,Sunday,April
229,ZONE-A,BIKE,2024-05-03 02:00:00,30.0,20.0,10.0,UNKNOWN,YES,VISITOR,2,3,Friday,May
230,ZONE-A,CAR,2024-04-22 11:00:00,30.0,40.0,20.0,UPI,YES,VISITOR,11,22,Monday,April
233,ZONE-B,CAR,2024-06-28 14:00:00,240.0,20.0,80.0,CASH,NO,VISITOR,14,28,Friday,June
234,ZONE-A,CAR,2024-06-28 19:00:00,5.0,20.0,1.67,UNKNOWN,NO,VISITOR,19,28,Friday,June
235,ZONE-C,BIKE,2024-01-07 15:00:00,15.0,20.0,5.0,UPI,YES,REGULAR,15,7,Sunday,January
237,UNKNOWN,BIKE,2024-04-10 18:00:00,15.0,30.0,7.5,CASH,YES,UNKNOWN,18,10,Wednesday,April
238,ZONE-A,UNKNOWN,2024-04-24 01:00:00,30.0,30.0,15.0,CASH,YES,VISITOR,1,24,Wednesday,April
239,ZONE-B,EV,2024-05-13 14:00:00,30.0,20.0,10.0,CASH,NO,VISITOR,14,13,Monday,May
240,ZONE-A,EV,2024-06-22 07:00:00,30.0,20.0,10.0,UPI,NO,VISITOR,7,22,Saturday,June
241,ZONE-C,EV,2024-04-26 08:00:00,240.0,30.0,120.0,CARD,NO,VISITOR,8,26,Friday,April
242,ZONE-C,UNKNOWN,2024-04-13 14:00:00,60.0,40.0,40.0,UNKNOWN,NO,VISITOR,14,13,Saturday,April
243,ZONE-A,UNKNOWN,2024-05-16 19:00:00,60.0,40.0,40.0,CARD,YES,REGULAR,19,16,Thursday,May
245,ZONE-A,EV,2024-02-27 14:00:00,120.0,30.0,60.0,UPI,YES,REGULAR,14,27,Tuesday,February
247,UNKNOWN,BIKE,2024-05-18 05:00:00,120.0,40.0,80.0,CARD,NO,VISITOR,5,18,Saturday,May
248,UNKNOWN,BIKE,2024-07-26 18:00:00,120.0,20.0,40.0,CARD,YES,REGULAR,18,26,Friday,July
249,UNKNOWN,BIKE,2024-05-30 03:00:00,120.0,30.0,60.0,CASH,NO,REGULAR,3,30,Thursday,May
250,ZONE-A,CAR,2024-07-21 09:00:00,30.0,30.0,15.0,CASH,NO,UNKNOWN,9,21,Sunday,July
252,ZONE-A,BIKE,2024-06-16 05:00:00,120.0,30.0,60.0,UPI,YES,REGULAR,5,16,Sunday,June
255,UNKNOWN,UNKNOWN,2024-05-19 01:00:00,30.0,30.0,15.0,UPI,NO,VISITOR,1,19,Sunday,May
256,ZONE-C,BIKE,2024-05-01 03:00:00,240.0,30.0,120.0,CARD,YES,REGULAR,3,1,Wednesday,May
257,UNKNOWN,CAR,2024-06-20 04:00:00,240.0,30.0,120.0,UPI,YES,REGULAR,4,20,Thursday,June
258,ZONE-C,BIKE,2024-02-06 05:00:00,30.0,40.0,20.0,UPI,YES,UNKNOWN,5,6,Tuesday,February
260,ZONE-A,BIKE,2024-06-17 15:00:00,30.0,30.0,15.0,UPI,YES,UNKNOWN,15,17,Monday,June
261,ZONE-C,CAR,2024-04-13 11:00:00,240.0,40.0,160.0,UPI,NO,VISITOR,11,13,Saturday,April
262,ZONE-C,BIKE,2024-04-03 11:00:00,5.0,40.0,3.33,UNKNOWN,NO,REGULAR,11,3,Wednesday,April
263,UNKNOWN,EV,2024-07-10 23:00:00,30.0,20.0,10.0,CARD,YES,REGULAR,23,10,Wednesday,July
264,ZONE-A,BIKE,2024-01-20 09:00:00,30.0,30.0,15.0,CASH,YES,REGULAR,9,20,Saturday,January
